dataset,features_varied,metrics,numb_of_cfs,f1_score
Credit,all,dice,100,0.4343434343434343
Credit,all,dice,100,0.6428571428571428
Credit,all,dice,100,0.3626373626373627
Credit,all,dice,98,0.4766355140186916
Credit,all,dice,100,0.6508474576271186
Credit,all,dice,99,0.49056603773584906
Credit,all,dice,100,0.4215686274509804
Credit,all,dice,100,0.6217228464419475
Credit,all,dice,100,0.5928571428571429
Credit,all,dice,100,0.5584905660377358
Credit,all,dice,100,0.18064516129032257
Credit,all,dice,100,0.6615384615384615
Credit,all,dice,100,0.267515923566879
Credit,all,dice,100,0.41904761904761906
Credit,all,dice,99,0.6508474576271186
Credit,all,dice,100,0.5423728813559322
Credit,all,dice,100,0.45581395348837206
Credit,all,dice,100,0.6217228464419475
Credit,all,dice,100,0.5928571428571429
Credit,all,dice,100,0.5869565217391305
Credit,all,dice,100,0.49107142857142855
Credit,all,dice,100,0.5925925925925927
Credit,all,dice,99,0.6015625000000001
Credit,all,dice,97,0.37948717948717947
Credit,all,dice,100,0.6529209621993126
Credit,all,dice,100,0.46511627906976744
Credit,all,dice,100,0.45853658536585373
Credit,all,dice,100,0.6194029850746269
Credit,all,dice,100,0.5928571428571429
Credit,all,dice,100,0.3402061855670104
Credit,all,dice,100,0.40625
Credit,all,dice,99,0.6306306306306306
Credit,all,dice,100,0.4577114427860697
Credit,all,dice,93,0.38578680203045684
Credit,all,dice,99,0.6508474576271186
Credit,all,dice,100,0.18543046357615894
Credit,all,dice,100,0.43269230769230765
Credit,all,dice,99,0.6217228464419475
Credit,all,dice,100,0.5576208178438661
Credit,all,dice,100,0.4938271604938271
Credit,all,dice,100,0.49549549549549554
Credit,all,dice,99,0.5743589743589743
Credit,all,dice,100,0.380952380952381
Credit,all,dice,94,0.2983425414364641
Credit,all,dice,100,0.6508474576271186
Credit,all,dice,100,0.1258741258741259
Credit,all,dice,100,0.4236453201970444
Credit,all,dice,100,0.6217228464419475
Credit,all,dice,99,0.5576208178438661
Credit,all,dice,100,0.4938271604938271
Credit,all,dice_3,100,0.5761316872427983
Credit,all,dice_3,100,0.3018867924528302
Credit,all,dice_3,100,0.4216216216216216
Credit,all,dice_3,98,0.6
Credit,all,dice_3,100,0.5301204819277109
Credit,all,dice_3,99,0.5752212389380531
Credit,all,dice_3,100,0.43654822335025384
Credit,all,dice_3,100,0.5101214574898785
Credit,all,dice_3,100,0.5971223021582733
